ticker,arithmetic_contribution_sum,linked_terminal_contribution_index,months_contributing,share_of_terminal_gain
UNH,0.2891581936623621,333.44535585932874,105,0.20574574401050263
NFLX,0.3820663998477813,294.6734917506534,127,0.18182234580585394
MAR,0.10083320935932942,110.67007320192882,73,0.06828674069232986
NVDA,0.23860396449949212,103.99370676585261,60,0.06416722318956775
PBR,0.14960241336888458,81.83787796757646,137,0.05049641506413163
KLAC,0.3474146011304989,78.41420151448443,72,0.04838390443318487
CMG,0.14979432974135035,74.07904691080891,54,0.04570898455902696
TJX,0.06906498060414512,73.55029836379812,47,0.04538273091270206
AMZN,0.12596582510161208,69.34406895006343,61,0.04278736173151365
SBUX,0.05314206563195498,63.811593372638065,30,0.03937365905461229
MPC,0.17818492123012658,50.220658038223455,46,0.03098764601517013
RCL,0.18452488521990265,44.43700916455127,39,0.02741896191236559
NEM,0.16175759251108665,37.50352908391021,24,0.02314079761135997
MRK,0.053337123341900224,32.39571276839115,34,0.019989122382904238
FTNT,0.07937004012604676,26.624581976423638,25,0.016428162310405277
AVGO,0.08994651146537722,26.289191488422144,58,0.016221216361765274
DE,0.023997254667210942,25.949356781027486,51,0.016011528197018416
PSX,0.08853118128748544,19.891452505642683,32,0.012273620319815088
TGT,0.045406104714506394,16.22811571300112,40,0.010013232101119795
BAC,0.019869035976911417,13.93912820431053,14,0.00860085844009639
CHTR,0.004447215543350881,12.493753054422655,50,0.007709018801719693
C,0.010696391538879626,11.91110527807162,37,0.0073495077210136185
ACN,0.01303981593501191,10.69765969555565,22,0.00660077555304685
ORLY,0.058038752935139645,9.425721613769602,59,0.005815951765959036
VZ,-0.008106743507218388,9.151802506652057,18,0.005646935495369958
BRK-B,0.045893396483192045,8.011724321274615,38,0.0049434732027969506
WMT,0.03602567264913359,7.8684451161810145,46,0.004855065653748187
PANW,0.021375051381120908,7.123401938312576,41,0.004395351759831609
CAT,-0.0006727656200123931,6.993626742987059,51,0.004315276588151542
NOC,0.014793576980718781,6.96343681654167,26,0.004296648501813013
KR,0.009854009246097585,6.565292277770182,38,0.004050981429491225
BABA,0.007339445354086452,6.467599857667933,15,0.0039907022883818085
REGN,0.006965988206650641,4.686242066221691,15,0.0028915513249338975
SONY,0.02712449979162465,4.174516269605368,48,0.002575801224042975
RTX,0.026192131927594117,3.8720794950653983,21,0.0023891887008800684
GD,0.02677000098675631,3.3738096073417756,36,0.0020817412976810406
COST,0.009875719024355984,3.289970477378648,65,0.002030010050361663
ADBE,0.0067098190292187825,2.97637981010213,8,0.001836515242232512
SCHW,0.0024587237938298984,2.826911432775473,7,0.0017442887890559108
MA,0.01669415803977017,2.247106659039817,58,0.0013865319258791753
AZO,0.0023284555094423847,2.1551905380680925,23,0.0013298169338615176
OXY,0.007506444354361004,2.1015073363483636,24,0.0012966927949745717
CVX,0.008508121845541833,1.5545566343822972,22,0.0009592078753748834
BMY,0.004691556133309289,1.3895081347242315,14,0.0008573680213680643
NOW,0.005612888628292404,1.3727568729045163,50,0.0008470319924936179
COP,0.0029330932520128445,0.8797477151480265,23,0.0005428306168133621
FDX,0.0034743633256878923,0.4888880587568817,35,0.00030165853450728414
DIS,0.0018719900094233783,0.36993303907149994,11,0.00022825973437741229
NUE,0.010798335908353152,0.3549555605227777,30,0.00021901818276105623
CL,0.0018735698064131741,0.3460142514349061,1,0.000213501127992154
USB,0.0006408400458481399,0.22916199848026508,15,0.0001413997977412128
LLY,-0.0005087964937762665,0.16202173170220735,7,9.997224777364695e-05
TM,0.00030881749955223125,0.16035030890177854,22,9.894092998322788e-05
MELI,0.0011591566483485942,0.11613177368843164,29,7.16567730242005e-05
PNC,0.0009805663849257458,0.1131784824977061,20,6.98345041497411e-05
HD,0.00013631040629568533,0.06279784191786568,13,3.874814412798706e-05
PM,0.0003738834003850339,0.05927686372907125,4,3.657559541987466e-05
ROP,0.00046155448270174395,0.047926720661797845,2,2.9572218137910093e-05
MMM,0.00017452187822331988,0.03340001387385076,3,2.0608806161737643e-05
